Title,Url,Date,Description
The thin line between cocaine and violence,https://www.france24.com/en/20071228-Reporters-colombia-bogota-farc-cocaine-drug-violence,28-Dec-07,"Cocaine has become a currency in south Colombia, and violence a common language. FRANCE 24 investigates (Report: R. Langlois, P. Mariani)"
Policing in Belfast,https://www.france24.com/en/20071228-policing-belfast-northern-ireland,28-Dec-07,"After Sinn Fein's recognition of the Police Service in January, the service will be assigned a new name, new uniforms and 50 per cent of the force will comprise of Catholics. (Report: E.Irvine)"
"State of the nation, post-Bhutto",https://www.france24.com/en/20071228-state-nation-post-bhutto-,28-Dec-07,"The untimely death of former Pakistani Prime Minister Benazir Bhutto has plunged the nuclear-armed Muslim nation into a deep political crisis as her political party grapples to find a new chief and the Pakistani people, another beacon of hope."
Benazir Bhutto assassinated,https://www.france24.com/en/20071227-benazir-bhutto-assassinated-pakistan,27-Dec-07,"Former Pakistani prime minister Benazir Bhutto was killed in a suicide attack following a political rally in Rawalpindi, plunging the country into political crisis. (Report: J. Creedon)"
World leaders condemn Bhutto killing,https://www.france24.com/en/20071227-world-leaders-condemn-bhutto-killing-bhutto-assassination,27-Dec-07,"World leaders have spoken out against the assassination of Pakistani opposition leader Benazir Bhutto, with United States, India, Russia, France, Great Britain and the Vatican condemning the attack as 'abominable.'"
Video footage shows Ingrid Betancourt alive,https://www.france24.com/en/20071224-video-footage-shows-ingrid-betancourt-alive-colombia,24-Dec-07,"Footage seized from FARC rebels shows Ingrid Betancourt thin, drawn, but alive."
Bringing home the overseas vote,https://www.france24.com/en/20071224-bringing-home-overseas-vote-us-presidential-elections,24-Dec-07,"Overlooked, politically underrepresented and frequently disregarded, US citizens abroad want their voices – and their votes – heard."
Illegal immigration dominates debate,https://www.france24.com/en/20071224-illegal-immigration-dominates-debate-usa-gop-debate,24-Dec-07,"Republican presidential hopefuls exchanged blows Nov. 28 on immigration, religion, and gun control during a debate in St. Petersburg, Fla."
Entrevista exclusiva con Hugo Chávez,https://www.france24.com/en/20071224-entrevista-exclusiva-con-hugo-ch%C3%A1vez-exclusividad-france-24,24-Dec-07,"Desde finales de agosto, el presidente venezolano trabaja de mediador entre la guerrilla colombiana (FARC) y el gobierno colombiano. Esperado en Paris el 20 de noviembre, Hugo Chávez dió una entrevista exclusiva a FRANCE 24."
Obama ahead of Clinton in polls,https://www.france24.com/en/20071224-obama-ahead-clinton-polls-usa-2008-elections,24-Dec-07,"In an ABC News/Washington Post poll released late Monday, Obama led with 30 percent among Democrats likely to attend the caucus nominating contest in Iowa, the first big hurdle in the party nominating process."
